source;target;count
RYR2;ZFHX4;27
PCDHAC2;ZFHX4;44
PCDHAC2;VCAN;28
PCDHAC2;PEG3;46
PCDHAC2;ZNF536;37
PCDHAC2;RP1L1;46
PCDHAC2;SPTA1;58
PCDHAC2;TNN;26
PCDHAC2;TAF1L;31
PCDHAC2;PCDHGC5;119
PCDHAC2;SI;40
PCDHAC2;TP53;117
FLG2;PCDHAC2;46
FLG2;MUC16;43
FLG2;PCDHGC5;50
FLG2;TP53;52
PCDH10;PCDHAC2;36
PCDH10;PCDHGC5;33
PCDH10;TP53;33
FLG;ZFHX4;38
FLG;PCDHAC2;78
FLG;FLG2;29
FLG;KEAP1;27
FLG;MXRA5;35
FLG;HRNR;28
FLG;RP1L1;35
FLG;SPTA1;34
FLG;MUC17;46
FLG;MUC16;62
FLG;TAF1L;27
FLG;KRAS;34
FLG;PCDHGC5;86
FLG;TP53;73
FRG1B;PCDHAC2;27
FRG1B;PCDHGC5;28
FRG1B;TP53;33
PEG3;TP53;51
KEAP1;PCDHAC2;29
KEAP1;MUC16;33
KEAP1;PCDHGC5;46
KEAP1;TP53;34
GPR112;PCDHAC2;31
GPR112;MUC16;36
GPR112;PCDHGC5;35
GPR112;TP53;31
LRP1B;PCDHAC2;26
LRP1B;MUC16;27
MXRA5;PCDHAC2;43
MXRA5;PCDHGC5;46
MXRA5;TP53;44
HRNR;PCDHAC2;38
HRNR;MUC16;34
HRNR;PCDHGC5;51
HRNR;TP53;43
CSMD3;PCDHAC2;28
CSMD3;MUC16;29
CSMD3;TP53;32
FBN2;MUC16;31
FBN2;PCDHGC5;28
FBN2;TP53;26
RP1L1;TP53;43
FAT4;MUC16;27
FAT4;PCDHGC5;26
FAT4;TP53;26
SPTA1;ZFHX4;26
SPTA1;TP53;52
C1orf173;PCDHAC2;32
C1orf173;MUC16;34
C1orf173;PCDHGC5;34
C1orf173;TP53;26
MUC17;PCDHAC2;57
MUC17;MXRA5;26
MUC17;RP1L1;26
MUC17;SPTA1;29
MUC17;PCDHGC5;73
MUC17;TP53;65
MUC16;RYR2;26
MUC16;RYR1;29
MUC16;ZFHX4;52
MUC16;PCDHAC2;92
MUC16;PEG3;35
MUC16;ZNF536;34
MUC16;MXRA5;41
MUC16;RP1L1;41
MUC16;SPTA1;54
MUC16;TNN;26
MUC16;MUC17;54
MUC16;TAF1L;29
MUC16;TSHZ3;31
MUC16;PCDHGC5;109
MUC16;SI;28
MUC16;TP53;90
TAF1L;TP53;36
KRAS;ZFHX4;35
KRAS;PCDHAC2;61
KRAS;SPTA1;30
KRAS;MUC16;65
KRAS;PCDHGC5;70
KRAS;TP53;34
PCDHGC5;RYR2;34
PCDHGC5;ZFHX4;54
PCDHGC5;VCAN;26
PCDHGC5;PEG3;47
PCDHGC5;ZNF536;31
PCDHGC5;RP1L1;56
PCDHGC5;SPTA1;59
PCDHGC5;TNN;31
PCDHGC5;TAF1L;39
PCDHGC5;TSHZ3;29
PCDHGC5;SI;33
PCDHGC5;TP53;124
CDH10;MUC16;28
CDH10;PCDHGC5;28
COL6A3;PCDHAC2;27
COL6A3;MUC16;27
COL6A3;TP53;29
ASPM;PCDHAC2;32
ASPM;MUC16;35
ASPM;PCDHGC5;40
ASPM;TP53;33
SI;TP53;33
AHNAK;MUC16;29
AHNAK;PCDHGC5;31
FAM47C;PCDHAC2;31
FAM47C;PCDHGC5;34
FAM47C;TP53;40
COL11A1;PCDHAC2;27
COL11A1;MUC16;33
COL11A1;PCDHGC5;34
COL11A1;TP53;33
APOB;PCDHAC2;61
APOB;FLG;44
APOB;MXRA5;31
APOB;SPTA1;26
APOB;MUC17;31
APOB;MUC16;50
APOB;KRAS;26
APOB;PCDHGC5;63
APOB;TP53;52
TP53;ZFHX4;43
TP53;ZNF536;27
AHNAK2;PCDHAC2;44
AHNAK2;FLG;32
AHNAK2;MUC17;30
AHNAK2;MUC16;40
AHNAK2;PCDHGC5;47
AHNAK2;TP53;49
